feature,importance
macd_signal,0.066361225175648
momentum_20,0.05195217009404947
momentum_5,0.04979815214283503
rsi,0.046488496933792395
momentum_10,0.04348779223076007
close_to_support,0.04278169843620572
macd,0.04075436676639798
volatility_ratio,0.03897641524487636
close_to_resistance,0.03672127026785574
close_to_sma50,0.03638406956368829
high_low_spread,0.035898140438554764
volume_ratio,0.032915326565063574
volatility_20_lag_1,0.03192420900074598
bb_percent,0.031743035946523286
macd_hist,0.031035899609980083
volatility_20_lag_2,0.03074334286411453
volatility_20_lag_5,0.029648611465853243
close_to_sma20,0.027998501449977394
volatility_20,0.027701230624334987
volume_ratio_lag_2,0.026258182744742967
returns_lag_5,0.02591641238734267
volume_ratio_lag_3,0.02559957826847971
returns_lag_1,0.02420597422546584
volume_ratio_lag_5,0.023949134908623635
volume_ratio_lag_1,0.023693525522005765
volatility_20_lag_3,0.021770156347232675
log_returns,0.02176750353583858
close_to_high,0.01983162524411931
returns_lag_2,0.01904611750914264
returns,0.017601361265905842
returns_lag_3,0.017046473219843514
