feature,importance
macd_signal,0.04993806996985348
macd_hist,0.047497313675841514
momentum_5,0.04471682055817374
macd,0.04094691712476831
returns_lag_2,0.040743387631840926
returns_lag_1,0.040103370401440824
volatility_ratio,0.03885115241193064
volume_ratio,0.0384997901577686
volatility_20_lag_5,0.037178720419908544
volatility_20,0.03711168730014616
close_to_support,0.036867661621035976
volatility_20_lag_1,0.03683150713843354
close_to_sma50,0.036115835279171976
volatility_20_lag_2,0.03205119825006813
bb_percent,0.031998423661329684
momentum_20,0.030231320340669488
high_low_spread,0.029478798447334014
volume_ratio_lag_2,0.02946339033550629
close_to_sma20,0.029170853759871496
volume_ratio_lag_1,0.029160792878286122
volatility_20_lag_3,0.027145663908231196
volume_ratio_lag_5,0.026883476370899325
close_to_resistance,0.026409529209413533
volume_ratio_lag_3,0.024508349056726025
rsi,0.02431244737813638
log_returns,0.024190626582134653
returns_lag_5,0.02416747356386319
momentum_10,0.02359404284223818
returns,0.022255510381955168
returns_lag_3,0.020730402423189583
close_to_high,0.018845466919833524
