feature,importance
volatility_ratio,0.10279823790504394
volatility_20_lag_5,0.06247378591630045
macd_signal,0.05379847091363066
momentum_20,0.05167641842806319
macd_hist,0.05087330520136671
volatility_20_lag_2,0.050759194030178686
volatility_20_lag_3,0.04571386672898056
rsi,0.04374907985387909
volatility_20,0.04129356174677584
macd,0.03837825997002762
momentum_10,0.036757772443310334
close_to_support,0.03563310314763151
close_to_sma50,0.03528448661111097
close_to_resistance,0.03308514545474774
returns_lag_3,0.03072828819564747
momentum_5,0.027498489893300348
bb_percent,0.025712040932879127
returns_lag_2,0.02426392332490428
volume_ratio_lag_1,0.023766046336548323
volume_ratio_lag_5,0.02236548456909342
close_to_sma20,0.02168392329689538
volume_ratio_lag_2,0.021601439423347666
volume_ratio_lag_3,0.019455950924089714
volume_ratio,0.017779425274636374
volatility_20_lag_1,0.017144365426945352
high_low_spread,0.015997496875652165
returns_lag_5,0.014392485254617197
returns_lag_1,0.014064039393879983
close_to_high,0.013875595300650431
returns,0.006289113095812151
log_returns,0.0011072041300530292
