feature,importance
macd_signal,0.05486447343887526
volatility_ratio,0.04987922133540956
macd_hist,0.041037945850816555
rsi,0.038378514434721935
momentum_20,0.03746599211800311
close_to_support,0.03745725242402365
close_to_resistance,0.037372939655105464
volatility_20_lag_3,0.037175897164155064
volatility_20_lag_5,0.03693461100122953
close_to_sma50,0.0364490077248012
volatility_20,0.03520881883661399
macd,0.03477641800857346
bb_percent,0.034187050030716315
volatility_20_lag_2,0.03369968557150292
close_to_sma20,0.03264411046430236
volatility_20_lag_1,0.03160200023682491
returns_lag_2,0.031427665490350545
returns_lag_3,0.031299444718418605
volume_ratio_lag_2,0.029648448068054303
close_to_high,0.029098359522135134
volume_ratio_lag_1,0.028172344374355788
volume_ratio,0.027928803372887227
momentum_10,0.02720903694011634
momentum_5,0.02502502298254011
returns_lag_5,0.024732176230156444
volume_ratio_lag_5,0.024274612650267615
volume_ratio_lag_3,0.02404860317720639
returns_lag_1,0.02372805496039888
high_low_spread,0.021914342409305232
log_returns,0.02148604572257995
returns,0.020873101085552185
