feature,importance
macd_hist,0.07100400204704052
volatility_ratio,0.06379158808207488
volatility_20_lag_5,0.06068460512095379
momentum_20,0.056222455259452624
close_to_sma50,0.046944888816580814
volatility_20,0.04635872416261155
volume_ratio_lag_1,0.040888970393875915
volatility_20_lag_1,0.03981447665382695
close_to_support,0.03786881247974166
momentum_10,0.0378685731601543
volume_ratio_lag_5,0.036200747462802205
volatility_20_lag_2,0.034103552536099174
volume_ratio_lag_2,0.031006172376760722
macd_signal,0.030578241751064005
rsi,0.03054387119674963
close_to_resistance,0.029994701864463524
macd,0.02841424487703117
high_low_spread,0.02834388135578458
returns_lag_2,0.027326052501747713
close_to_sma20,0.02587278722950319
volume_ratio_lag_3,0.025637645254495137
volume_ratio,0.02482982913052979
momentum_5,0.022844408058154003
returns_lag_3,0.022257532589539365
bb_percent,0.017989413435560153
returns_lag_1,0.01782542636746981
returns_lag_5,0.016846292867271618
volatility_20_lag_3,0.016750609150411058
close_to_high,0.014260358359557683
log_returns,0.009994457240346819
returns,0.006932678218345646
